states,median_household_income_2019,median_family_income_2019,population_2020,number_of_households_2019,number_of_families_2019,growth_in_income_over_10_years,inequality_coefficient_2019,inequality_coefficient_2015to2019,unemployment_rate,poverty_rate,federal_funding,state_funding,social_funding,white,black,hispanic,asian,american_indian,other_pacific_islander,multiple_races,density,growthsince2010,lawsrank,grade2019,gundeathrate
Alabama,51734,66171,5.024279e+06,1.897576e+06,1.237883e+06,2.76,0.4741,0.4791,3.1,15.98,3417,7373,1546,0.644,0.255,0.047,0.013,0.004,0,0.037,100.6762,0.06674,38,10,21.7
Alaska,75463,91971,733391,252199,163134,1.75,0.4376,0.4284,6.3,10.34,5982,17222,3707,0.579,0.026,0.067,0.07,0.138,0.015,0.105,1.28449,0.03204,42,10,20.74
Arizona,62055,74468,7.151502e+06,2.670441e+06,1.740704e+06,3.19,0.4591,0.4664,5.7,14.12,1675,5506,2395,0.521,0.041,0.324,0.033,0.033,0.002,0.047,65.61541,0.16607,45,10,15.29
Arkansas,48952,62387,3.011524e+06,1.163647e+06,755305,2.76,0.475,0.4765,4,16.08,1895,7249,2442,0.683,0.144,0.083,0.014,0.004,0.004,0.068,58.86715,0.05049,40,10,18.96
California,80440,91377,3.9538224e+07,1.3157873e+07,8.972643e+06,3.76,0.4866,0.4886,7.5,12.58,1861,9585,2914,0.342,0.051,0.403,0.151,0.002,0.003,0.047,249.81348,0.04461,1,100,7.45
Colorado,77127,95164,5.773714e+06,2.235103e+06,1.421844e+06,4.03,0.4548,0.4566,5.6,9.78,4188,3894,1701,0.653,0.036,0.222,0.031,0.003,0.002,0.053,56.62333,0.1669,14,60,15.14
Connecticut,78833,101272,3.605944e+06,1.377166e+06,885911,2.34,0.5024,0.4963,6.8,9.78,1831,12040,1067,0.628,0.097,0.178,0.047,0.001,0,0.049,749.49506,0.01538,3,95,4.91
Delaware,70176,87148,989948,376239,242584,2.57,0.4509,0.4545,5.3,11.44,4068,8192,2842,0.595,0.203,0.102,0.041,0,0,0.057,529.4946,0.14929,11,80,11.55
Florida,59227,71348,2.1538188e+07,7.905832e+06,5.083272e+06,3.25,0.4808,0.4862,4.9,13.34,1547,7331,1364,0.512,0.144,0.27,0.028,0.001,0,0.046,422.5935,0.20532,22,40,12.81
Georgia,61980,74833,1.0711908e+07,3.852714e+06,2.55544e+06,3.26,0.4795,0.4819,3.2,14.28,2657,7674,1275,0.503,0.303,0.1,0.043,0.002,0,0.048,191.917,0.13936,32,10,15.72
Hawaii,83102,96462,1.455271e+06,465299,316206,3.12,0.4397,0.4414,6.6,9.26,6128,12116,2055,0.196,0.013,0.109,0.375,0,0.097,0.209,223.14153,0.05362,5,95,4.03
