States,Median household income (2019),Median family income (2019),"Population (April 1, 2020)",Number of households (2019),Number of families (2019),Growth in Income over 10 years(%),Inequality coefficient (2019),Inequality coefficient (2015-2019),Unemployment Rates,Poverty Rate,Federal Funding,State Funding,Per Capita Expense on Social Welfare
Massachusetts,85843,108348,7029917,2650680,1665005,3.67,0.4803,0.4826,5.2,9.85,2044,9553,3642
Connecticut,78833,101272,3605944,1377166,885911,2.34,0.5024,0.4963,6.8,9.78,1831,12040,1067
New Jersey,85751,105705,9288294,3286264,2241555,2.66,0.4782,0.4814,7.1,9.67,1875,6739,2030
Maryland,86738,105679,6177224,2226767,1462070,2.6,0.4558,0.4535,5.9,9.02,2852,9783,2384
New York,72108,89475,20201249,7446812,4636356,3.23,0.5149,0.5142,7.1,13.58,1126,11778,3449
Washington,78687,94709,7705281,2932477,1882896,3.93,0.4577,0.4573,4.9,10.19,4309,8954,1793
New Hampshire,77933,97112,1377529,541396,346413,2.75,0.4406,0.4384,2.9,7.42,2069,5258,1670
Colorado,77127,95164,5773714,2235103,1421844,4.03,0.4548,0.4566,5.6,9.78,4188,3894,1701
Virginia,76456,93497,8631393,3191847,2094763,2.6,0.4690,0.4689,3.8,10.01,2690,6120,1754
California,80440,91377,39538223,13157873,8972643,3.76,0.4866,0.4886,7.5,12.58,1861,9585,2914
Minnesota,74593,93584,5706494,2222568,1401623,3.35,0.4434,0.4494,3.7,9.33,1994,8124,2865
Illinois,69187,87771,12812508,4866006,3059067,3.01,0.4800,0.4821,6.8,11.99,1883,7354,2134
Rhode Island,71169,89373,1097379,407174,249987,3.49,0.4628,0.4702,5.2,11.58,2155,5340,2915
Hawaii,83102,96462,1455271,465299,316206,3.12,0.4397,0.4414,6.6,9.26,6128,12116,2055
Alaska,75463,91971,733391,252199,163134,1.75,0.4376,0.4284,6.3,10.34,5982,17222,3707
Delaware,70176,87148,989948,376239,242584,2.57,0.4509,0.4545,5.3,11.44,4068,8192,2842
North Dakota,64577,87055,779094,323519,189509,3.19,0.4558,0.4537,3.5,10.53,2824,8518,2060
Pennsylvania,63463,81075,13002700,5119249,3228224,2.85,0.4745,0.4720,6.2,11.95,4073,5491,2904
Vermont,63001,83458,643077,262767,156153,2.74,0.4471,0.4484,2.9,10.78,5728,6331,3040
