State,median_household_income_2019,median_family_income_2019,population_2020,number_of_households_2019,number_of_families_2019,growth_in_income_over_10_years,inequality_coefficient_2019,inequality_coefficient_2015to2019,unemployment_rate,poverty_rate,federal_funding,state_funding,social_funding,white,black,hispanic,asian,american_indian,other_pacific_islander,multiple_races,density,growthsince2010,lawsrank,grade2019,gundeathrate,PCA1,PCA2,PCA3,Class
Alabama,51734,66171,5024279.0,1897576.0,1237883.0,2.76,0.4741,0.4791,3.1,15.98,3417,7373,1546,0.644,0.255,0.047,0.013,0.004,0.0,0.037,100.6762,0.06674,38,10,21.7,-2.622542231346342,-2.1475500001149608,0.8962921787140681,High
Alaska,75463,91971,733391.0,252199.0,163134.0,1.75,0.4376,0.4284,6.3,10.34,5982,17222,3707,0.579,0.026,0.067,0.07,0.138,0.015,0.105,1.28449,0.03204,42,10,20.74,-1.2808211548112163,4.566125682146079,5.472264601954102,High
Arizona,62055,74468,7151502.0,2670441.0,1740704.0,3.19,0.4591,0.4664,5.7,14.12,1675,5506,2395,0.521,0.041,0.324,0.033,0.033,0.002,0.047,65.61541,0.16607,45,10,15.29,-0.6678208561676122,-1.172734435630122,0.2617194512481391,High
Arkansas,48952,62387,3011524.0,1163647.0,755305.0,2.76,0.475,0.4765,4.0,16.08,1895,7249,2442,0.683,0.144,0.083,0.014,0.004,0.004,0.068,58.86715,0.05049,40,10,18.96,-2.514467892990831,-1.7089516203239834,1.3934951794602974,High
California,80440,91377,39538224.0,13157873.0,8972643.0,3.76,0.4866,0.4886,7.5,12.58,1861,9585,2914,0.342,0.051,0.403,0.151,0.002,0.003,0.047,249.81348,0.04461,1,100,7.45,7.850963575211807,-3.5510948362906944,-0.1987757875204087,Low
Colorado,77127,95164,5773714.0,2235103.0,1421844.0,4.03,0.4548,0.4566,5.6,9.78,4188,3894,1701,0.653,0.036,0.222,0.031,0.003,0.002,0.053,56.62333,0.1669,14,60,15.14,1.0427031543031573,1.4142293172064062,-2.0093288562925915,High
Connecticut,78833,101272,3605944.0,1377166.0,885911.0,2.34,0.5024,0.4963,6.8,9.78,1831,12040,1067,0.628,0.097,0.178,0.047,0.001,0.0,0.049,749.49506,0.01538,3,95,4.91,3.665628662814785,0.051400029160030364,-0.0428458958392079,Low
Delaware,70176,87148,989948.0,376239.0,242584.0,2.57,0.4509,0.4545,5.3,11.44,4068,8192,2842,0.595,0.203,0.102,0.041,0.0,0.0,0.057,529.4946,0.14929,11,80,11.55,0.8459945142277752,1.5033986489660516,0.11154616037061486,High
Florida,59227,71348,21538188.0,7905832.0,5083272.0,3.25,0.4808,0.4862,4.9,13.34,1547,7331,1364,0.512,0.144,0.27,0.028,0.001,0.0,0.046,422.5935,0.20532,22,40,12.81,2.0319342460954113,-3.4966435191352434,-0.9496550528199007,Low
Georgia,61980,74833,10711908.0,3852714.0,2555440.0,3.26,0.4795,0.4819,3.2,14.28,2657,7674,1275,0.503,0.303,0.1,0.043,0.002,0.0,0.048,191.917,0.13936,32,10,15.72,-0.3551059083280683,-2.264130858263816,-0.01582753052762574,High
Hawaii,83102,96462,1455271.0,465299.0,316206.0,3.12,0.4397,0.4414,6.6,9.26,6128,12116,2055,0.196,0.013,0.109,0.375,0.0,0.097,0.209,223.14153,0.05362,5,95,4.03,5.729987980545969,8.051690460844549,5.827095297701228,Low
Idaho,60999,72365,1839106.0,655859.0,448979.0,3.83,0.4337,0.4462,2.9,11.94,1757,6888,1762,0.788,0.007,0.133,0.014,0.007,0.001,0.051,23.88287,0.25911,48,10,16.61,-2.916990929996052,1.0093287112341316,-2.0126676617586674,High
Illinois,69187,87771,12812508.0,4866006.0,3059067.0,3.01,0.48,0.4821,6.8,11.99,1883,7354,2134,0.59,0.132,0.181,0.057,0.001,0.0,0.039,224.74458,-0.02752,8,95,10.78,2.909076222738611,-1.5132113950262294,-0.15283628436620691,Low
Indiana,57603,73876,6785528.0,2597765.0,1639230.0,2.88,0.4584,0.4526,4.0,12.91,2112,6074,2474,0.767,0.086,0.077,0.023,0.001,0.0,0.045,191.27287,0.05687,28,20,14.71,-1.3764093014415948,-0.46299052980753225,-0.6442846214736819,High
Iowa,61691,78152,3190369.0,1287221.0,808802.0,2.84,0.4422,0.4416,4.0,11.11,3203,7086,2244,0.831,0.034,0.067,0.023,0.003,0.001,0.041,57.34903,0.05153,19,50,8.62,-1.0926246637665065,1.5257916193599685,-1.1912622393756183,High
Kansas,62087,79006,2937880.0,1138329.0,733489.0,2.84,0.45,0.4563,3.9,11.44,2323,7635,1745,0.734,0.047,0.129,0.03,0.004,0.0,0.056,35.91504,0.02918,43,10,14.65,-1.8855331779395872,0.5645408159644957,-0.2942567494056681,High
Kentucky,52295,66183,4505836.0,1748732.0,1129276.0,3.01,0.4764,0.4786,4.3,16.61,2459,5754,2931,0.83,0.068,0.038,0.015,0.002,0.0,0.047,114.42109,0.04117,46,10,16.81,-2.5021145614460685,-1.7185450881867854,0.39788776160342526,High
Louisiana,51073,65105,4657757.0,1741076.0,1113831.0,2.06,0.4978,0.4953,5.8,18.65,1527,8706,2906,0.574,0.306,0.055,0.018,0.004,0.0,0.044,105.39265,0.00441,32,10,21.31,-1.5860326277040004,-3.80200214455728,2.9880648444002933,High
Maine,58924,76316,1362359.0,573618.0,342894.0,2.84,0.449,0.4511,4.8,11.07,1456,7275,2838,0.9,0.014,0.018,0.011,0.003,0.0,0.053,45.17855,0.04899,34,10,10.32,-2.087120016128539,0.9060025026282907,-0.8467957232710697,High
Maryland,86738,105679,6177224.0,2226767.0,1462070.0,2.6,0.4558,0.4535,5.9,9.02,2852,9783,2384,0.481,0.286,0.111,0.068,0.001,0.0,0.052,634.04865,0.06602,6,95,11.61,3.151050269628329,1.4113160661169308,-0.17920302587620332,Low
Massachusetts,85843,108348,7029917.0,2650680.0,1665005.0,3.67,0.4803,0.4826,5.2,9.85,2044,9553,3642,0.677,0.061,0.129,0.069,0.001,0.0,0.063,894.1356,0.06516,7,95,3.46,4.220743738839613,1.2088582534550898,-1.4869762962163011,Low
Michigan,59584,75703,10077331.0,3969880.0,2496550.0,3.06,0.4634,0.4669,4.6,13.71,3598,6384,1797,0.731,0.131,0.056,0.032,0.003,0.0,0.048,177.41245,0.01488,19,50,12.82,-0.07260050288567556,-0.8025552264671995,-0.3660707360991723,High
Minnesota,74593,93584,5706494.0,2222568.0,1401623.0,3.35,0.4434,0.4494,3.7,9.33,1994,8124,2865,0.769,0.067,0.058,0.05,0.006,0.0,0.049,71.87131,0.07899,13,60,7.79,0.6226101088394592,1.8533157249119339,-1.846005422637373,High
Mississippi,45792,58503,2961279.0,1100229.0,718382.0,2.44,0.4896,0.4807,5.8,19.58,3045,8325,2199,0.559,0.357,0.031,0.008,0.004,0.0,0.04,62.45398,-0.01239,50,10,22.81,-2.8692387617546653,-3.55333069670472,3.162429328340321,High
Missouri,57409,73457,6154913.0,2458337.0,1546045.0,2.92,0.4633,0.4641,3.8,13.01,1100,5389,1659,0.768,0.106,0.046,0.02,0.002,0.001,0.057,89.98998,0.03292,46,10,21.34,-2.3871171481005478,-1.1841331637244514,-0.3566371398656992,High
Montana,57153,73014,1084225.0,437651.0,269009.0,3.3,0.4597,0.4594,3.3,12.78,4810,7025,2231,0.838,0.004,0.043,0.007,0.055,0.0,0.054,7.82919,0.1517,34,10,17.27,-2.980695166751492,1.1549274598672645,-0.03900051323616107,High
Nebraska,63229,80062,1961504.0,771444.0,493013.0,3.01,0.44,0.4442,2.0,10.37,3033,11883,1418,0.766,0.042,0.12,0.022,0.006,0.0,0.044,25.67286,0.07991,18,50,9.05,-1.2000286100414226,2.012339463098947,-1.1629863538479526,High
Nevada,63276,76124,3104614.0,1143557.0,723755.0,2.43,0.471,0.462,7.5,12.78,1507,6728,1375,0.451,0.086,0.301,0.084,0.006,0.007,0.066,29.23222,0.18833,15,60,17.84,0.7840193770224063,-0.3635548435520801,1.2526862653115909,High
New Hampshire,77933,97112,1377529.0,541396.0,346413.0,2.75,0.4406,0.4384,2.9,7.42,2069,5258,1670,0.876,0.012,0.043,0.027,0.0,0.0,0.043,156.70245,0.0657,30,10,10.66,-1.4066422374194962,2.5971257381029997,-2.6922219650974912,High
New Jersey,85751,105705,9288294.0,3286264.0,2241555.0,2.66,0.4782,0.4814,7.1,9.67,1875,6739,2030,0.522,0.121,0.216,0.1,0.001,0.0,0.04,1258.5582,0.05272,2,100,4.75,5.171985629841362,0.15623521096425408,-1.184587858330515,Low
New Mexico,51945,61826,2117522.0,793420.0,496961.0,2.37,0.4768,0.4784,6.9,18.55,3284,10909,3432,0.348,0.016,0.503,0.014,0.081,0.0,0.037,17.39527,0.02469,17,50,20.75,-0.3195556930954247,-1.8987280974256242,4.372842180271961,High
New York,72108,89475,20201248.0,7446812.0,4636356.0,3.23,0.5149,0.5142,7.1,13.58,1126,11778,3449,0.535,0.132,0.196,0.087,0.002,0.0,0.048,413.71664,0.00613,4,95,4.03,5.429541755218579,-3.1497905465777083,0.672743795824793,Low
North Carolina,57341,72049,10439388.0,4046348.0,2630365.0,3.16,0.4743,0.476,4.2,13.98,2312,10352,1483,0.611,0.197,0.101,0.031,0.009,0.0,0.05,222.7994,0.13597,24,30,13.26,-0.033180127291344966,-1.7244176977247427,0.09210553933840149,High
North Dakota,64577,87055,779094.0,323519.0,189509.0,3.19,0.4558,0.4537,3.5,10.53,2824,8518,2060,0.827,0.029,0.039,0.014,0.043,0.0,0.044,11.31271,0.16057,39,10,11.36,-2.157701951703192,1.612415819689531,-1.0506053832546594,High
Ohio,58642,74911,11799448.0,4730340.0,2942581.0,2.96,0.4651,0.4654,5.4,13.62,1473,5640,2449,0.767,0.115,0.043,0.024,0.001,0.001,0.049,287.5058,0.01831,24,30,13.05,-0.0662825651418003,-1.5920859134701066,-0.5838824537143755,High
Oklahoma,54449,68358,3959353.0,1495151.0,975754.0,2.91,0.4739,0.4689,3.0,15.27,2348,7031,1796,0.629,0.065,0.119,0.023,0.069,0.001,0.093,59.01851,0.07918,40,10,16.71,-2.3202461875212568,-0.47911578349977924,1.4883926749397043,High
Oregon,67058,82540,4237256.0,1649352.0,1021588.0,4.14,0.45,0.4586,4.7,12.36,4260,8515,3033,0.721,0.018,0.14,0.045,0.007,0.004,0.065,44.00522,0.10256,15,60,11.68,0.3688123279080333,1.6224314647100513,-0.585560534931953,High
Pennsylvania,63463,81075,13002700.0,5119249.0,3228224.0,2.85,0.4745,0.472,6.2,11.95,4073,5491,2904,0.739,0.097,0.084,0.037,0.001,0.0,0.043,289.0275,0.01807,12,60,12.47,1.3999077910220417,-0.9487581734298227,-0.24989990005628177,Low
Rhode Island,71169,89373,1097379.0,407174.0,249987.0,3.49,0.4628,0.4702,5.2,11.58,2155,5340,2915,0.689,0.043,0.174,0.03,0.002,0.0,0.06,1054.6257,0.03602,9,90,3.28,2.218422478780533,1.1150792561354983,-1.6381061839771007,Low
South Carolina,56227,70537,5118425.0,1975915.0,1286326.0,3.29,0.4747,0.474,4.1,14.68,2520,7157,1686,0.628,0.247,0.063,0.016,0.002,0.0,0.043,178.70337,0.16142,31,10,17.51,-1.5572541934862143,-1.7378787411391843,-0.09511803561750054,High
